EQ,group
1410,158
1411,212
1412,157
1413,146
1414,196
1415,220
1416,32
1417,221
1418,222
1419,143
1420,12
1421,223
1422,46
1423,196
1424,158
1425,190
1426,3
1427,3
1428,224
1429,225
1430,225
1431,154
1432,226
1433,146
1434,46
1435,46
1436,46
1437,91
1438,227
1439,46
1440,146
1441,46
1442,42
1443,42
1444,53
1445,19
1446,157
1447,32
1448,32
1449,3
1450,75
1451,2
1452,45
1453,188
1454,146
1455,4
1456,205
1457,32
1458,46
1459,158
1460,228
1461,68
1462,57
1463,146
1464,146
1465,109
1466,46
1467,2
1468,7
1469,63
1470,158
1471,229
1472,180
1473,46
1474,46
1475,155
1476,155
1477,155
1478,42
1479,144
1480,81
1481,81
1482,230
1483,3
1484,3
1485,7
1486,99
1487,41
1488,41
1489,21
1490,7
1491,57
1492,146
1493,157
1494,158
1495,19
1496,231
1497,231
1498,232
1499,233
1500,161
1501,109
1502,7
1503,55
1504,157
1505,234
1506,3
1507,3
1508,235
1509,158
1510,235
1511,2
1512,236
1513,236
1514,158
1515,235
1516,46
1517,46
1518,233
1519,236
1520,237
1521,238
1522,157
1523,25
1524,239
1525,161
1526,157
1527,37
1528,37
1529,14
1530,32
1531,157
1532,161
1533,240
1534,157
1535,54
1536,232
1537,234
1538,241
1539,157
1540,235
1541,235
1542,157
1543,16
1544,21
1545,109
1546,21
1547,161
1548,46
1549,157
1550,24
1551,35
1552,157
1553,157
1554,242
1555,7
1556,209
1557,243
1558,244
1559,51
1560,46
1561,51
1562,3
1563,16
1564,157
1565,245
1566,245
1567,245
1568,87
1569,43
1570,46
1571,146
1572,157
1573,46
1574,235
1575,161
1576,157
1577,246
1578,233
1579,2
1580,8
1581,157
1582,247
1583,237
1584,3
1585,232
1586,248
1587,180
1588,180
1589,190
1590,157
1591,249
1592,168
1593,231
1594,157
1595,3
1596,157
1597,250
1598,157
1599,157
1600,157
1601,3
1602,3
1603,25
1604,251
1605,7
1606,252
1607,253
1608,141
1609,161
1610,157
1611,254
1612,161
1613,3
1614,25
1615,152
1616,146
1617,147
1618,41
1619,157
1620,3
1621,157
1622,157
1623,236
1624,3
1625,252
1626,109
1627,91
1628,146
1629,147
1630,25
1631,236
1632,231
1633,255
1634,7
1635,10
1636,212
1637,46
1638,256
1639,232
1640,257
1641,252
1642,258
1643,3
1644,192
1645,192
1646,91
1647,52
1648,52
1649,52
1650,219
1651,46
1652,46
1653,157
1654,91
1655,192
1656,37
1657,259
1658,190
1659,18
1660,18
1661,260
1662,157
1663,91
1664,261
1665,3
1666,157
1667,24
1668,24
1669,203
1670,157
1671,157
1672,157
1673,7
1674,157
1675,57
1676,10
1677,6
1678,252
1679,252
1680,7
1681,157
1682,157
1683,7
1684,7
1685,157
1686,252
1687,157
1688,46
1689,262
1690,263
1691,81
1692,92
1693,143
1694,161
1695,157
1696,233
1697,161
1698,243
1699,2
1700,148
1701,157
1702,264
1703,265
1704,51
1705,266
1706,237
1707,209
1708,209
1709,243
1710,24
1711,157
1712,267
1713,18
1714,268
1715,269
1716,157
1717,157
1718,41
1719,270
1720,271
1721,157
1722,157
1723,209
1724,272
1725,262
1726,161
1727,161
1728,249
1729,157
1730,243
1731,243
1732,273
1733,274
1734,275
1735,276
1736,277
1737,278
1738,233
1739,279
1740,279
1741,233
1742,161
1743,3
1744,2
1745,157
1746,235
1747,157
1748,37
1749,280
1750,281
1751,161
1752,11
1753,41
1754,46
1755,188
1756,282
1757,157
1758,235
1759,96
1760,46
1761,46
1762,46
1763,283
1764,229
1765,180
1766,284
1767,185
1768,233
1769,157
1770,161
1771,285
1772,286
1773,157
1774,237
1775,161
1776,157
1777,250
1778,287
1779,259
1780,288
1781,233
1782,233
1783,157
1784,157
1785,31
1786,31
1787,161
1788,161
1789,157
1790,41
1791,157
1792,157
1793,232
1794,289
1795,233
1796,233
1797,161
1798,161
1799,254
1800,157
1801,157
1802,252
1803,161
1804,161
1805,3
1806,137
1807,59
1808,59
1809,19
1810,19
1811,275
1812,290
1813,291
1814,286
1815,42
1816,292
1817,292
1818,2
1819,168
1820,252
1821,293
1822,157
1823,157
1824,3
1825,2
1826,148
1827,250
1828,258
1829,258
1830,286
1831,209
1832,252
1833,258
1834,236
1835,236
1836,294
1837,295
1838,219
1839,219
1840,157
1841,296
1842,157
1843,157
1844,297
1845,157
1846,252
1847,233
1848,157
1849,157
1850,298
1851,59
1852,59
1853,271
1854,271
1855,142
1856,252
1857,292
1858,232
1859,236
1860,254
1861,299
1862,300
1863,257
1864,301
1865,161
1866,302
1867,262
1868,157
1869,193
1870,193
1871,234
1872,303
1873,303
1874,304
1875,305
1876,298
1877,157
1878,262
1879,262
1880,2
1881,233
1882,306
1883,239
1884,250
1885,270
1886,5
1887,7
1888,243
1889,192
1890,32
1891,161
1892,161
1893,272
1894,262
1895,2
1896,4
1897,307
1898,238
1899,42
1900,157
1901,157
1902,157
1903,161
1904,308
1905,309
1906,310
1907,243
1908,161
1909,243
1910,157
1911,301
1912,24
1913,157
1914,161
1915,157
1916,24
1917,249
1918,264
1919,192
1920,180
1921,234
1922,234
1923,157
1924,233
1925,148
1926,311
1927,254
1928,157
1929,157
1930,247
1931,252
1932,161
1933,157
1934,312
1935,42
1936,252
1937,2
1938,75
1939,233
1940,243
1941,233
1942,252
1943,292
1944,161
1945,238
1946,313
1947,314
1948,168
1949,7
1950,157
1951,212
1952,41
1953,186
1954,315
1955,316
1956,20
1957,252
1958,236
1959,236
1960,157
1961,317
1962,267
1963,318
1964,219
1965,291
1966,28
1967,319
1968,157
1969,292
1970,320
1971,320
1972,291
1973,233
1974,233
1975,38
1976,180
1977,180
1978,321
1979,322
1980,272
1981,148
1982,157
1983,323
1984,324
1985,317
1986,157
1987,157
1988,275
1989,252
1990,325
