separated_group,separated_EQ,MIN_E
85,1111,-1231.818327317583
86,1135,-1231.85261864949
87,2994,-908.274141540531
88,2927,-1157.604180647807
89,1230,-1140.492647983515
90,1232,-908.315176417909
91,1242,-969.034446496229
92,1245,-1157.565801777563
93,1247,-925.376279056315
94,2234,-1231.815423720765
95,1322,-1231.798048559602
96,1897,-1231.756757020998
97,1344,-1464.023274687283
98,2076,-1231.838576972817
99,,
100,1435,-645.539964556791
101,1445,-925.375776220478
102,1448,-1231.831399654715
103,1477,-621.729419807539
104,2481,-286.556336254385
105,1499,-834.086402372207
106,3494,-1140.536194539414
107,1559,-1231.834313613227
108,1561,-987.666264029371
109,1562,-476.335862684381
110,1570,-925.318879254152
111,1573,-1157.564242889493
112,1575,-1157.564233863568
113,1580,-925.306625769985
114,1583,-1157.545930577614
115,1682,-1157.60330089115
116,1684,-1157.591147608633
117,1700,-1157.600428499034
118,1717,-1231.824362019406
119,1719,-1231.826449490292
120,1728,-1157.581443239496
121,1861,-834.048148995152
122,1733,-756.692620672173
123,1764,-908.314331591942
124,1767,-1140.544236287577
125,1776,-621.729711615797
126,1784,-1140.500666983918
127,1786,-1140.480361179932
128,1795,-834.048153118419
129,4386,-719.76631552904
130,1875,-719.770998116152
131,1879,-719.773885431775
132,1937,-908.305098191699
133,1949,-834.089098071252
134,1955,-1157.581443955637
135,1976,-1464.016456367525
136,4320,-1157.576842143429
137,1979,-1157.573529421407
138,1981,-1464.001372417939
139,2014,-1157.590183441712
140,2025,-1043.246497825496
141,2031,-1157.594848903455
142,2080,-1231.805728171542
143,2042,-1157.55560000203
144,2047,-925.366203008212
145,4022,-951.981270428782
146,2094,-1231.793685745295
147,4752,-413.298492976074
148,2113,-1231.806610210512
149,2123,-736.810939741206
150,2127,-1140.530772526988
151,2128,-323.464640277918
152,2461,-969.006990572517
153,3476,-1231.805834716608
154,2872,-1157.603291310743
155,3733,-1157.600705328679
156,2544,-1157.568018940504
157,2949,-1157.582324374209
158,2183,-1231.798432761275
159,2185,-1231.80611341221
160,2570,-1157.598638586769
161,2212,-1157.612723882137
162,3242,-1043.273938973818
163,3377,-1231.829129000658
164,3472,-1157.599091436271
165,2259,-1231.811798702053
166,3973,-1464.032387190272
167,3543,-1157.588020927747
168,2266,-1043.257399132298
169,2273,-1231.80337936563
170,5980,-987.675155781069
171,7003,-476.315589404525
172,2355,-1464.006279063387
173,3231,-736.815861591549
