EQ,separated_EQ,group,separated_group
261,671,45,49
261,672,45,5
262,673,25,28
262,674,25,5
262,675,25,1
263,676,42,46
263,677,42,5
264,678,8,11
264,679,8,1
264,680,8,2
265,681,18,21
265,682,18,5
266,683,46,50
266,684,46,1
267,685,46,50
267,686,46,1
268,687,20,23
268,688,20,1
269,689,47,51
269,690,47,52
269,691,47,1
270,692,18,21
270,693,18,5
271,694,18,21
271,695,18,5
272,696,2,4
272,697,2,5
272,698,2,2
273,699,48,53
273,700,48,1
273,701,48,2
274,702,49,54
274,703,49,1
275,704,7,10
275,705,7,5
275,706,7,1
276,707,11,14
276,708,11,5
276,709,11,1
277,710,16,19
277,711,16,5
278,712,4,7
278,713,4,5
278,714,4,2
279,715,18,21
279,716,18,5
280,717,18,21
280,718,18,5
281,719,1,3
281,720,1,1
281,721,1,2
282,722,50,55
282,723,50,5
283,724,18,21
283,725,18,5
284,726,51,56
284,727,51,5
285,728,42,46
285,729,42,5
286,730,52,57
286,731,52,5
287,732,19,22
287,733,19,5
288,734,24,27
288,735,24,5
289,736,53,58
289,737,53,5
290,738,53,58
290,739,53,5
291,740,2,4
291,741,2,5
291,742,2,2
292,743,46,50
292,744,46,1
293,745,46,50
293,746,46,1
294,747,54,59
294,748,54,5
295,749,3,6
295,750,3,5
296,751,7,10
296,752,7,5
296,753,7,1
297,754,7,10
297,755,7,5
297,756,7,1
298,757,55,60
298,758,55,5
299,759,18,21
299,760,18,5
300,761,56,61
300,762,56,52
301,763,2,4
301,764,2,5
301,765,2,2
302,766,11,14
302,767,11,5
302,768,11,1
303,769,2,4
303,770,2,5
303,771,2,2
304,772,42,46
304,773,42,5
305,774,7,10
305,775,7,5
305,776,7,1
306,777,54,59
306,778,54,5
307,779,38,42
307,780,38,5
308,781,21,24
308,782,21,1
309,783,57,62
309,784,57,5
310,785,9,12
310,786,9,5
310,787,9,1
310,788,9,2
311,789,3,6
311,790,3,5
312,791,58,63
312,792,58,5
312,793,58,2
313,794,38,42
313,795,38,5
314,796,0,0
314,797,0,1
314,798,0,2
315,799,31,34
315,800,31,1
316,801,20,23
316,802,20,1
317,803,14,17
317,804,14,5
317,805,14,1
318,806,14,17
318,807,14,5
318,808,14,1
319,809,3,6
319,810,3,5
320,811,32,35
320,812,32,5
321,813,32,35
321,814,32,5
322,815,18,21
322,816,18,5
323,817,16,19
323,818,16,5
324,819,2,4
324,820,2,5
324,821,2,2
325,822,20,23
325,823,20,1
326,824,19,22
326,825,19,5
327,826,16,19
327,827,16,5
328,828,11,14
328,829,11,5
328,830,11,1
329,831,7,10
329,832,7,5
329,833,7,1
330,834,32,35
330,835,32,5
331,836,32,35
331,837,32,5
332,838,32,35
332,839,32,5
333,840,59,64
333,841,59,5
333,842,59,2
333,843,59,37
334,844,21,24
334,845,21,1
335,846,18,21
335,847,18,5
336,848,20,23
336,849,20,1
337,850,0,0
337,851,0,1
337,852,0,2
338,853,7,10
338,854,7,5
338,855,7,1
339,856,0,0
339,857,0,1
339,858,0,2
340,859,16,19
340,860,16,5
341,861,13,16
341,862,13,1
341,863,13,2
342,864,20,23
342,865,20,1
343,866,1,3
343,867,1,1
343,868,1,2
344,869,60,65
344,870,60,2
345,871,13,16
345,872,13,1
345,873,13,2
346,874,2,4
346,875,2,5
346,876,2,2
347,877,2,4
347,878,2,5
347,879,2,2
348,880,3,6
348,881,3,5
349,882,3,6
349,883,3,5
350,884,19,22
350,885,19,5
351,886,61,66
351,887,61,5
352,888,2,4
352,889,2,5
352,890,2,2
353,891,2,4
353,892,2,5
353,893,2,2
354,894,25,28
354,895,25,5
354,896,25,1
355,897,25,28
355,898,25,5
355,899,25,1
356,900,62,67
356,901,62,5
356,902,62,37
357,903,62,67
357,904,62,5
357,905,62,37
358,906,63,68
358,907,63,5
358,908,63,1
359,909,51,56
359,910,51,5
360,911,64,69
360,912,64,5
361,913,12,15
361,914,12,1
362,915,2,4
362,916,2,5
362,917,2,2
363,918,6,9
363,919,6,5
363,920,6,1
364,921,12,15
364,922,12,1
365,923,65,70
365,924,65,5
366,925,7,10
366,926,7,5
366,927,7,1
367,928,13,16
367,929,13,1
367,930,13,2
368,931,13,16
368,932,13,1
368,933,13,2
369,934,54,59
369,935,54,5
370,936,20,23
370,937,20,1
371,938,20,23
371,939,20,1
372,940,12,15
372,941,12,1
373,942,66,71
373,943,66,1
374,944,18,21
374,945,18,5
375,946,13,16
375,947,13,1
375,948,13,2
376,949,13,16
376,950,13,1
376,951,13,2
377,952,45,49
377,953,45,5
378,954,31,34
378,955,31,1
379,956,4,7
379,957,4,5
379,958,4,2
380,959,4,7
380,960,4,5
380,961,4,2
381,962,18,21
381,963,18,5
382,964,18,21
382,965,18,5
383,966,10,13
383,967,10,5
384,968,0,0
384,969,0,1
384,970,0,2
385,971,67,72
385,972,67,1
385,973,67,2
386,974,58,63
386,975,58,5
386,976,58,2
387,977,3,6
387,978,3,5
388,979,2,4
388,980,2,5
388,981,2,2
389,982,2,4
389,983,2,5
389,984,2,2
390,985,28,31
390,986,28,1
391,987,3,6
391,988,3,5
392,989,28,31
392,990,28,1
393,991,68,73
393,992,68,74
394,993,69,75
394,994,69,1
395,995,70,76
395,996,70,1
396,997,2,4
396,998,2,5
396,999,2,2
397,1000,1,3
397,1001,1,1
397,1002,1,2
398,1003,2,4
398,1004,2,5
398,1005,2,2
399,1006,37,41
399,1007,37,5
400,1008,0,0
400,1009,0,1
400,1010,0,2
401,1011,0,0
401,1012,0,1
401,1013,0,2
402,1014,11,14
402,1015,11,5
402,1016,11,1
403,1017,11,14
403,1018,11,5
403,1019,11,1
404,1020,11,14
404,1021,11,5
404,1022,11,1
405,1023,20,23
405,1024,20,1
406,1025,45,49
406,1026,45,5
407,1027,19,22
407,1028,19,5
408,1029,38,42
408,1030,38,5
409,1031,71,77
409,1032,71,1
410,1033,72,78
410,1034,72,1
411,1035,13,16
411,1036,13,1
411,1037,13,2
412,1038,13,16
412,1039,13,1
412,1040,13,2
413,1041,13,16
413,1042,13,1
413,1043,13,2
414,1044,8,11
414,1045,8,1
414,1046,8,2
415,1047,42,46
415,1048,42,5
416,1049,1,3
416,1050,1,1
416,1051,1,2
417,1052,0,0
417,1053,0,1
417,1054,0,2
418,1055,15,18
418,1056,15,5
419,1057,20,23
419,1058,20,1
420,1059,12,15
420,1060,12,1
421,1061,12,15
421,1062,12,1
422,1063,73,79
422,1064,73,5
422,1065,73,1
423,1066,74,80
423,1067,74,2
424,1068,75,81
424,1069,75,2
425,1070,2,4
425,1071,2,5
425,1072,2,2
426,1073,76,82
426,1074,76,5
426,1075,76,2
427,1076,20,23
427,1077,20,1
428,1078,20,23
428,1079,20,1
429,1080,55,60
429,1081,55,5
430,1082,7,10
430,1083,7,5
430,1084,7,1
431,1085,20,23
431,1086,20,1
432,1087,20,23
432,1088,20,1
433,1089,3,6
433,1090,3,5
434,1091,44,48
434,1092,44,5
435,1093,9,12
435,1094,9,5
435,1095,9,1
435,1096,9,2
436,1097,7,10
436,1098,7,5
436,1099,7,1
437,1100,18,21
437,1101,18,5
438,1102,1,3
438,1103,1,1
438,1104,1,2
439,1105,77,83
439,1106,77,1
440,1107,78,84
440,1108,78,1
441,1109,79,85
441,1110,79,5
442,1111,79,85
442,1112,79,5
443,1113,2,4
443,1114,2,5
443,1115,2,2
444,1116,55,60
444,1117,55,5
445,1118,79,85
445,1119,79,5
446,1120,79,85
446,1121,79,5
447,1122,79,85
447,1123,79,5
448,1124,40,44
448,1125,40,5
449,1126,3,6
449,1127,3,5
450,1128,1,3
450,1129,1,1
450,1130,1,2
451,1131,54,59
451,1132,54,5
452,1133,80,86
452,1134,80,5
453,1135,80,86
453,1136,80,5
454,1137,38,42
454,1138,38,5
455,1139,34,38
455,1140,34,5
456,1141,14,17
456,1142,14,5
456,1143,14,1
457,1144,25,28
457,1145,25,5
457,1146,25,1
458,1147,25,28
458,1148,25,5
458,1149,25,1
459,1150,17,20
459,1151,17,5
459,1152,17,1
460,1153,58,63
460,1154,58,5
460,1155,58,2
461,1156,58,63
461,1157,58,5
461,1158,58,2
462,1159,2,4
462,1160,2,5
462,1161,2,2
463,1162,20,23
463,1163,20,1
464,1164,13,16
464,1165,13,1
464,1166,13,2
465,1167,67,72
465,1168,67,1
465,1169,67,2
466,1170,3,6
466,1171,3,5
467,1172,81,87
467,1173,81,5
467,1174,81,2
468,1175,81,87
468,1176,81,5
468,1177,81,2
469,1178,4,7
469,1179,4,5
469,1180,4,2
470,1181,20,23
470,1182,20,1
471,1183,82,88
471,1184,82,1
472,1185,35,39
473,1186,7,10
473,1187,7,5
473,1188,7,1
474,1189,7,10
474,1190,7,5
474,1191,7,1
475,1192,20,23
475,1193,20,1
476,1194,2,4
476,1195,2,5
476,1196,2,2
477,1197,35,39
478,1198,2,4
478,1199,2,5
478,1200,2,2
479,1201,80,86
479,1202,80,5
480,1203,80,86
480,1204,80,5
481,1205,7,10
481,1206,7,5
481,1207,7,1
482,1208,16,19
482,1209,16,5
483,1210,19,22
483,1211,19,5
484,1212,19,22
484,1213,19,5
485,1214,72,78
485,1215,72,1
486,1216,72,78
486,1217,72,1
487,1218,4,7
487,1219,4,5
487,1220,4,2
488,1221,7,10
488,1222,7,5
488,1223,7,1
489,1224,7,10
489,1225,7,5
489,1226,7,1
490,1227,81,87
490,1228,81,5
490,1229,81,2
491,1230,83,89
491,1231,83,2
492,1232,84,90
492,1233,84,5
492,1234,84,2
493,1235,54,59
493,1236,54,5
494,1237,12,15
494,1238,12,1
495,1239,85,91
495,1240,85,1
495,1241,85,37
496,1242,85,91
496,1243,85,1
496,1244,85,37
497,1245,86,92
497,1246,86,1
498,1247,87,93
498,1248,87,5
498,1249,87,1
499,1250,87,93
499,1251,87,5
499,1252,87,1
500,1253,87,93
500,1254,87,5
500,1255,87,1
501,1256,20,23
501,1257,20,1
502,1258,20,23
502,1259,20,1
503,1260,54,59
503,1261,54,5
504,1262,76,82
504,1263,76,5
504,1264,76,2
505,1265,66,71
505,1266,66,1
506,1267,71,77
506,1268,71,1
507,1269,3,6
507,1270,3,5
508,1271,45,49
508,1272,45,5
509,1273,20,23
509,1274,20,1
510,1275,72,78
510,1276,72,1
511,1277,7,10
511,1278,7,5
511,1279,7,1
512,1280,3,6
512,1281,3,5
513,1282,44,48
513,1283,44,5
514,1284,36,40
514,1285,36,2
515,1286,45,49
515,1287,45,5
516,1288,45,49
516,1289,45,5
517,1290,0,0
517,1291,0,1
517,1292,0,2
518,1293,3,6
518,1294,3,5
519,1295,88,94
519,1296,88,5
520,1297,11,14
520,1298,11,5
520,1299,11,1
521,1300,45,49
521,1301,45,5
522,1302,38,42
522,1303,38,5
523,1304,3,6
523,1305,3,5
524,1306,3,6
524,1307,3,5
525,1308,3,6
525,1309,3,5
526,1310,3,6
526,1311,3,5
527,1312,35,39
528,1313,1,3
528,1314,1,1
528,1315,1,2
529,1316,8,11
529,1317,8,1
529,1318,8,2
530,1319,2,4
530,1320,2,5
530,1321,2,2
531,1322,89,95
531,1323,89,5
532,1324,90,96
532,1325,90,5
533,1326,19,22
533,1327,19,5
534,1328,71,77
534,1329,71,1
535,1330,46,50
535,1331,46,1
536,1332,46,50
536,1333,46,1
537,1334,56,61
537,1335,56,52
538,1336,3,6
538,1337,3,5
539,1338,37,41
539,1339,37,5
540,1340,3,6
540,1341,3,5
541,1342,75,81
541,1343,75,2
542,1344,91,97
543,1345,7,10
543,1346,7,5
543,1347,7,1
544,1348,54,59
544,1349,54,5
545,1350,54,59
545,1351,54,5
546,1352,45,49
546,1353,45,5
547,1354,92,98
547,1355,92,5
548,1356,46,50
548,1357,46,1
549,1358,46,50
549,1359,46,1
550,1360,54,59
550,1361,54,5
551,1362,54,59
551,1363,54,5
552,1364,3,6
552,1365,3,5
553,1366,63,68
553,1367,63,5
553,1368,63,1
554,1369,93,99
555,1370,35,39
556,1371,42,46
556,1372,42,5
557,1373,7,10
557,1374,7,5
557,1375,7,1
558,1376,20,23
558,1377,20,1
559,1378,18,21
559,1379,18,5
560,1380,18,21
560,1381,18,5
561,1382,2,4
561,1383,2,5
561,1384,2,2
562,1385,2,4
562,1386,2,5
562,1387,2,2
563,1388,3,6
563,1389,3,5
564,1390,19,22
564,1391,19,5
565,1392,42,46
565,1393,42,5
566,1394,44,48
566,1395,44,5
567,1396,35,39
568,1397,3,6
568,1398,3,5
569,1399,0,0
569,1400,0,1
569,1401,0,2
570,1402,1,3
570,1403,1,1
570,1404,1,2
571,1405,1,3
571,1406,1,1
571,1407,1,2
572,1408,25,28
572,1409,25,5
572,1410,25,1
573,1411,25,28
573,1412,25,5
573,1413,25,1
574,1414,7,10
574,1415,7,5
574,1416,7,1
575,1417,66,71
575,1418,66,1
576,1419,28,31
576,1420,28,1
577,1421,45,49
577,1422,45,5
578,1423,45,49
578,1424,45,5
579,1425,7,10
579,1426,7,5
579,1427,7,1
580,1428,57,62
580,1429,57,5
581,1430,3,6
581,1431,3,5
582,1432,0,0
582,1433,0,1
582,1434,0,2
583,1435,94,100
583,1436,94,1
583,1437,94,2
583,1438,94,37
584,1439,12,15
584,1440,12,1
585,1441,16,19
585,1442,16,5
586,1443,12,15
586,1444,12,1
587,1445,95,101
587,1446,95,5
587,1447,95,1
588,1448,96,102
588,1449,96,5
589,1450,96,102
589,1451,96,5
590,1452,11,14
590,1453,11,5
590,1454,11,1
591,1455,11,14
591,1456,11,5
591,1457,11,1
592,1458,11,14
592,1459,11,5
592,1460,11,1
593,1461,3,6
593,1462,3,5
594,1463,4,7
594,1464,4,5
594,1465,4,2
595,1466,3,6
595,1467,3,5
596,1468,2,4
596,1469,2,5
596,1470,2,2
597,1471,4,7
597,1472,4,5
597,1473,4,2
598,1474,81,87
598,1475,81,5
598,1476,81,2
599,1477,97,103
599,1478,97,104
599,1479,97,5
599,1480,97,2
600,1481,75,81
600,1482,75,2
601,1483,58,63
601,1484,58,5
601,1485,58,2
602,1486,58,63
602,1487,58,5
602,1488,58,2
603,1489,38,42
603,1490,38,5
604,1491,50,55
604,1492,50,5
605,1493,45,49
605,1494,45,5
606,1495,19,22
606,1496,19,5
607,1497,38,42
607,1498,38,5
608,1499,98,105
608,1500,98,1
608,1501,98,2
609,1502,72,78
609,1503,72,1
610,1504,3,6
610,1505,3,5
611,1506,3,6
611,1507,3,5
612,1508,0,0
612,1509,0,1
612,1510,0,2
613,1511,58,63
613,1512,58,5
613,1513,58,2
614,1514,54,59
614,1515,54,5
615,1516,99,106
615,1517,99,2
616,1518,99,106
616,1519,99,2
617,1520,7,10
617,1521,7,5
617,1522,7,1
618,1523,7,10
618,1524,7,5
618,1525,7,1
619,1526,20,23
619,1527,20,1
620,1528,63,68
620,1529,63,5
620,1530,63,1
621,1531,3,6
621,1532,3,5
622,1533,3,6
622,1534,3,5
623,1535,3,6
623,1536,3,5
624,1537,36,40
624,1538,36,2
625,1539,2,4
625,1540,2,5
625,1541,2,2
626,1542,2,4
626,1543,2,5
626,1544,2,2
627,1545,19,22
627,1546,19,5
628,1547,19,22
628,1548,19,5
629,1549,25,28
629,1550,25,5
629,1551,25,1
630,1552,48,53
630,1553,48,1
630,1554,48,2
631,1555,51,56
631,1556,51,5
632,1557,3,6
632,1558,3,5
633,1559,100,107
633,1560,100,5
634,1561,101,108
634,1562,101,109
635,1563,18,21
635,1564,18,5
636,1565,17,20
636,1566,17,5
636,1567,17,1
637,1568,21,24
637,1569,21,1
638,1570,102,110
638,1571,102,5
638,1572,102,1
639,1573,103,111
639,1574,103,1
640,1575,104,112
640,1576,104,1
641,1577,0,0
641,1578,0,1
641,1579,0,2
642,1580,105,113
642,1581,105,5
642,1582,105,1
643,1583,106,114
643,1584,106,1
644,1585,2,4
644,1586,2,5
644,1587,2,2
645,1588,45,49
645,1589,45,5
646,1590,73,79
646,1591,73,5
646,1592,73,1
647,1593,45,49
647,1594,45,5
648,1595,3,6
648,1596,3,5
649,1597,25,28
649,1598,25,5
649,1599,25,1
650,1600,45,49
650,1601,45,5
651,1602,7,10
651,1603,7,5
651,1604,7,1
652,1605,7,10
652,1606,7,5
652,1607,7,1
653,1608,7,10
653,1609,7,5
653,1610,7,1
654,1611,6,9
654,1612,6,5
654,1613,6,1
655,1614,8,11
655,1615,8,1
655,1616,8,2
656,1617,1,3
656,1618,1,1
656,1619,1,2
657,1620,3,6
657,1621,3,5
658,1622,7,10
658,1623,7,5
658,1624,7,1
659,1625,11,14
659,1626,11,5
659,1627,11,1
660,1628,3,6
660,1629,3,5
661,1630,9,12
661,1631,9,5
661,1632,9,1
661,1633,9,2
662,1634,9,12
662,1635,9,5
662,1636,9,1
662,1637,9,2
663,1638,37,41
663,1639,37,5
664,1640,96,102
664,1641,96,5
665,1642,0,0
665,1643,0,1
665,1644,0,2
666,1645,17,20
666,1646,17,5
666,1647,17,1
667,1648,3,6
667,1649,3,5
668,1650,13,16
668,1651,13,1
668,1652,13,2
669,1653,3,6
669,1654,3,5
670,1655,2,4
670,1656,2,5
670,1657,2,2
671,1658,75,81
671,1659,75,2
